"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
6,"sub",TRUE,2,"1",228,213,0.934210526315789,69,3,185,1.51888970051132
6,"sub",TRUE,2,"4",164,11,0.0670731707317073,0,2,138,0.00833294248237262
6,"sub",TRUE,2,"tot",392,224,0.571428571428571,69,3,323,0.0791831651475738
6,"sub",TRUE,4,"1",141,94,0.666666666666667,33,3,80,3.10640625
6,"sub",TRUE,4,"4",103,16,0.155339805825243,0,2,54,0.0640157280568239
6,"sub",TRUE,4,"5",82,5,0.0609756097560976,0,2,53,0.0327742326722439
6,"sub",TRUE,4,"6",66,4,0.0606060606060606,0,2,35,0.0631969111969112
6,"sub",TRUE,4,"tot",392,119,0.303571428571429,33,3,222,0.115138612791195
6,"sub",TRUE,6,"1",117,78,0.666666666666667,37,3,65,3.24
6,"sub",TRUE,6,"2",32,12,0.375,5,5,20,0.119322033898305
6,"sub",TRUE,6,"3",42,13,0.30952380952381,3,5,24,0.0926906779661017
6,"sub",TRUE,6,"4",82,9,0.109756097560976,0,2,49,0.0409373534439721
6,"sub",TRUE,6,"5",66,4,0.0606060606060606,0,2,42,0.0332871012482663
6,"sub",TRUE,6,"6",53,5,0.0943396226415094,0,2,33,0.0362133169348502
6,"sub",TRUE,6,"tot",392,121,0.308673469387755,41,3,233,0.0965149315562512
7,"sub",TRUE,1,"5",392,39,0.0994897959183673,0,2,124,0.235602282105565
7,"sub",TRUE,1,"tot",392,39,0.0994897959183673,0,2,124,0.235602282105565
7,"sub",TRUE,2,"3",164,25,0.152439024390244,3,3,54,0.24543869238177
7,"sub",TRUE,2,"5",228,19,0.0833333333333333,0,2,73,0.230748135863249
7,"sub",TRUE,2,"tot",392,44,0.112244897959184,3,3,127,0.236690095646593
7,"sub",TRUE,4,"1",67,40,0.597014925373134,23,3,33,4.12213039485767
7,"sub",TRUE,4,"3",101,14,0.138613861386139,3,3,52,0.0913461538461538
7,"sub",TRUE,4,"4",81,7,0.0864197530864197,0,2,42,0.0639577259475219
7,"sub",TRUE,4,"5",143,19,0.132867132867133,0,2,69,0.0804629164955822
7,"sub",TRUE,4,"tot",392,80,0.204081632653061,26,3,196,0.109544719204992
7,"sub",TRUE,6,"1",53,31,0.584905660377358,17,3,28,3.58290816326531
7,"sub",TRUE,6,"2",33,15,0.454545454545455,3,3,16,0.213068181818182
7,"sub",TRUE,6,"3",83,18,0.216867469879518,4,6,40,0.138675742574257
7,"sub",TRUE,6,"4",66,7,0.106060606060606,0,2,34,0.0670816922881464
7,"sub",TRUE,6,"5",113,11,0.0973451327433628,0,2,56,0.0743970615413048
7,"sub",TRUE,6,"6",44,4,0.0909090909090909,0,2,19,0.106816857642261
7,"sub",TRUE,6,"tot",392,86,0.219387755102041,23,3,193,0.122103535775607
8,"sub",TRUE,1,"3",392,65,0.165816326530612,11,3,163,0.158258460320602
8,"sub",TRUE,1,"tot",392,65,0.165816326530612,11,3,163,0.158258460320602
8,"sub",TRUE,2,"3",230,37,0.160869565217391,10,3,78,0.277526395173454
8,"sub",TRUE,2,"4",162,18,0.111111111111111,0,2,65,0.131245301929341
8,"sub",TRUE,2,"tot",392,55,0.14030612244898,10,3,143,0.200284964552955
8,"sub",TRUE,4,"1",81,58,0.716049382716049,29,3,49,2.7326114119117
8,"sub",TRUE,4,"3",142,30,0.211267605633803,5,3,79,0.0860999034351631
8,"sub",TRUE,4,"4",102,11,0.107843137254902,0,2,63,0.0362473347547974
8,"sub",TRUE,4,"5",67,7,0.104477611940299,0,2,35,0.0641436050860135
8,"sub",TRUE,4,"tot",392,106,0.270408163265306,34,3,226,0.0910844248186509
8,"sub",TRUE,6,"1",65,44,0.676923076923077,21,3,36,3.26003086419753
8,"sub",TRUE,6,"2",43,18,0.418604651162791,6,3,27,0.143936939855307
8,"sub",TRUE,6,"3",117,24,0.205128205128205,5,3,58,0.108585396460223
8,"sub",TRUE,6,"4",83,12,0.144578313253012,0,2,48,0.047097924773022
8,"sub",TRUE,6,"5",52,2,0.0384615384615385,0,2,31,0.0411997736276174
8,"sub",TRUE,6,"6",32,2,0.0625,0,2,17,0.0605907599091139
8,"sub",TRUE,6,"tot",392,102,0.260204081632653,32,3,217,0.0998920733900947
